trust_code,trust_name,provider_type_source,rvpi_rank,rvpi_z,rvpi_percentile,cluster,components_available
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,ACUTE - SMALL,92,-0.013421714659780279,30.0,1,6
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ACUTE - MEDIUM,93,-0.018070204735069855,29.230769230769234,1,6
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,ACUTE - LARGE,94,-0.019155288772909538,28.46153846153846,1,6
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,95,-0.01990812877612434,27.692307692307693,1,6
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ACUTE - TEACHING,96,-0.029024487627638956,26.923076923076923,1,6
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,97,-0.042235940365329856,26.153846153846157,1,6
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ACUTE - SMALL,98,-0.049805361054546894,25.384615384615383,1,6
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,99,-0.05557770023282003,24.615384615384617,1,6
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,100,-0.057108932196113106,23.846153846153847,1,6
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,101,-0.07781628020585805,23.076923076923077,1,6
RXF,MID YORKSHIRE TEACHING NHS TRUST,ACUTE - TEACHING,102,-0.07834266492702083,22.30769230769231,1,6
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ACUTE - TEACHING,103,-0.09276886235064274,21.53846153846154,1,6
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,104,-0.09678594825236997,20.76923076923077,,5
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ACUTE - TEACHING,105,-0.09858232364964574,20.0,1,6
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,106,-0.11097110656980025,19.230769230769234,1,6
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ACUTE - TEACHING,107,-0.1286067082451446,18.461538461538463,1,6
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,108,-0.13089679593268055,17.692307692307693,1,6
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,109,-0.15387089696797307,16.923076923076923,1,6
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,110,-0.19984260912865928,16.153846153846153,1,6
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,ACUTE - LARGE,111,-0.20796756420049478,15.384615384615385,1,6
RCU,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,ACUTE - SPECIALIST,112,-0.23226815668513676,14.615384615384617,1,6
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ACUTE - LARGE,113,-0.2769754871736504,13.846153846153847,1,6
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ACUTE - SMALL,114,-0.2908332698379864,13.076923076923078,1,6
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ACUTE - SPECIALIST,115,-0.3082988555504839,12.307692307692308,1,6
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,ACUTE - SPECIALIST,116,-0.35392055351218055,11.538461538461538,,5
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,117,-0.38256505156367887,10.76923076923077,1,6
RL1,ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,118,-0.3999106254013768,10.0,,5
RBS,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ACUTE - SPECIALIST,119,-0.42006639520684735,9.230769230769232,1,6
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ACUTE - LARGE,120,-0.44823733095666696,8.461538461538462,1,6
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ACUTE - LARGE,121,-0.4660593379186621,7.6923076923076925,1,6
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,122,-0.6873228100561511,6.923076923076923,,5
RBV,THE CHRISTIE NHS FOUNDATION TRUST,ACUTE - SPECIALIST,123,-0.762797831206145,6.153846153846154,,5
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,124,-0.8461952718974104,5.384615384615385,,5
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,125,-0.9151931648889293,4.615384615384616,,5
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,126,-0.9202549684584966,3.8461538461538463,,5
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,127,-0.9554038091213591,3.076923076923077,,5
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,128,-0.9938398636082209,2.307692307692308,1,6
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,129,-1.20399320432787,1.5384615384615385,1,6
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,130,-2.2628072785928524,0.7692307692307693,,5
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,,,,,3
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,COMMUNITY,,,,,3
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ACUTE - TEACHING,,,,,1
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,COMMUNITY,,,,,3
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
REN,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ACUTE - SPECIALIST,,,,,3
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,,,,,2
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,,,,,3
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RKL,WEST LONDON NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ACUTE - MEDIUM,,,,,3
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ACUTE - SPECIALIST,,,,,3
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RPG,OXLEAS NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ACUTE - SPECIALIST,,,,,3
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,ACUTE - SPECIALIST,,,,,3
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,3
RRJ,ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,,,,,3
RRU,LONDON AMBULANCE SERVICE NHS TRUST,AMBULANCE,,,,,1
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,3
RT2,PENNINE CARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ACUTE - TEACHING,,,,,3
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RW4,MERSEY CARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,3
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ACUTE - LARGE,,,,,3
RWK,EAST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RWV,DEVON PARTNERSHIP NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",MENTAL HEALTH AND LEARNING DISABILITY,,,,,3
RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,AMBULANCE,,,,,1
RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,AMBULANCE,,,,,1
RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,AMBULANCE,,,,,1
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,AMBULANCE,,,,,1
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,2
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,COMMUNITY,,,,,2
RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,COMMUNITY,,,,,2
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,COMMUNITY,,,,,2
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,COMMUNITY,,,,,2
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,COMMUNITY,,,,,2
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,COMMUNITY,,,,,2
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,COMMUNITY,,,,,2
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,COMMUNITY,,,,,1
RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,AMBULANCE,,,,,1
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,AMBULANCE,,,,,1
RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,AMBULANCE,,,,,1
RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,AMBULANCE,,,,,1
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,AMBULANCE,,,,,2
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,,,,,1
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,COMMUNITY,,,,,1
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,COMMUNITY,,,,,3
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,COMMUNITY,,,,,2
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,COMMUNITY,,,,,3
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,CARE TRUST,,,,,2
